"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Houston Cougars","23.0","13.9","9.1"
"UConn Huskies","22.7","8.9","13.8"
"Purdue Boilermakers","20.3","7.2","13.1"
"Auburn Tigers","18.5","8.6","9.9"
"Iowa State Cyclones","18.2","11.5","6.7"
"Arizona Wildcats","18.2","8.1","10.0"
"Tennessee Volunteers","18.1","10.5","7.6"
"Duke Blue Devils","17.9","7.0","10.9"
"North Carolina Tar Heels","17.0","7.7","9.3"
"Creighton Bluejays","16.8","5.9","10.9"
"Illinois Fighting Illini","16.3","4.5","11.7"
"Alabama Crimson Tide","16.2","2.8","13.4"
"Marquette Golden Eagles","15.3","6.7","8.6"
"Baylor Bears","15.1","3.3","11.8"
"Gonzaga Bulldogs","14.9","4.0","10.9"
"Saint Mary's Gaels","14.0","8.4","5.6"
"Michigan State Spartans","13.8","8.3","5.6"
"BYU Cougars","13.5","4.5","9.0"
"Wisconsin Badgers","13.3","4.7","8.6"
"Clemson Tigers","12.9","4.9","7.9"
"Kansas Jayhawks","12.7","6.8","5.9"
"Texas Longhorns","12.7","5.9","6.7"
"St. John's Red Storm","12.7","4.7","7.9"
"Kentucky Wildcats","12.6","2.3","10.3"
"Florida Gators","12.1","3.2","8.9"
"Texas Tech Red Raiders","11.7","4.2","7.6"
"Pittsburgh Panthers","11.6","5.0","6.6"
"Texas A&M Aggies","11.5","4.2","7.3"
"Dayton Flyers","11.5","4.0","7.5"
"Cincinnati Bearcats","11.5","6.9","4.6"
"Wake Forest Demon Deacons","11.5","4.0","7.4"
"Villanova Wildcats","11.4","7.1","4.2"
"TCU Horned Frogs","11.4","5.6","5.8"
"Mississippi State Bulldogs","11.1","6.9","4.3"
"San Diego State Aztecs","11.1","7.3","3.7"
"Florida Atlantic Owls","11.0","2.2","8.8"
"Nebraska Cornhuskers","10.7","4.8","5.9"
"Oklahoma Sooners","10.6","5.0","5.6"
"Northwestern Wildcats","10.3","3.9","6.4"
"Indiana State Sycamores","10.2","1.5","8.6"
"NC State Wolfpack","10.1","4.3","5.8"
"Washington State Cougars","10.1","5.4","4.7"
"Ohio State Buckeyes","9.9","3.9","6.0"
"Virginia Tech Hokies","9.8","2.9","6.9"
"Colorado Buffaloes","9.7","3.0","6.7"
"Providence Friars","9.4","7.2","2.2"
"Iowa Hawkeyes","9.3","0.5","8.7"
"Boise State Broncos","9.2","4.0","5.2"
"New Mexico Lobos","9.1","5.4","3.7"
"Utah Utes","9.1","4.3","4.8"
"Houston Cougars","20.5","10.6","9.9"
"Alabama Crimson Tide","18.9","10.8","8.1"
"UConn Huskies","18.9","8.6","10.2"
"Tennessee Volunteers","18.3","12.5","5.7"
"UCLA Bruins","17.8","10.2","7.6"
"Texas Longhorns","16.8","8.4","8.4"
"Purdue Boilermakers","15.4","6.5","9.0"
"Gonzaga Bulldogs","14.9","2.5","12.5"
"Kansas Jayhawks","14.7","7.7","7.0"
"Creighton Bluejays","14.5","6.2","8.3"
"Arizona Wildcats","14.2","4.6","9.6"
"Baylor Bears","13.8","3.2","10.6"
"Marquette Golden Eagles","13.6","4.8","8.8"
"Duke Blue Devils","13.0","6.8","6.1"
"San Diego State Aztecs","12.6","8.0","4.6"
"Arkansas Razorbacks","12.6","7.8","4.7"
"Kentucky Wildcats","12.5","4.6","8.0"
"Xavier Musketeers","12.5","3.6","8.8"
"Indiana Hoosiers","12.3","5.5","6.8"
"Saint Mary's Gaels","12.2","7.6","4.6"
"West Virginia Mountaineers","12.1","3.9","8.2"
"Maryland Terrapins","12.0","5.9","6.1"
"Virginia Cavaliers","11.9","6.9","5.0"
"Rutgers Scarlet Knights","11.7","10.1","1.6"
"Texas A&M Aggies","11.7","5.5","6.1"
"Auburn Tigers","11.6","6.3","5.4"
"TCU Horned Frogs","11.6","6.6","5.0"
"Iowa State Cyclones","11.6","9.0","2.6"
"Memphis Tigers","11.5","5.6","5.9"
"Miami Hurricanes","11.5","1.8","9.7"
"Kansas State Wildcats","11.4","6.5","5.0"
"Illinois Fighting Illini","11.1","6.8","4.3"
"Florida Atlantic Owls","11.0","4.5","6.5"
"Michigan State Spartans","10.8","5.2","5.7"
"Iowa Hawkeyes","10.8","0.7","10.1"
"Ohio State Buckeyes","10.4","2.9","7.5"
"Northwestern Wildcats","10.4","7.2","3.2"
"Providence Friars","10.4","3.1","7.3"
"North Carolina Tar Heels","10.2","5.0","5.2"
"Penn State Nittany Lions","10.2","1.8","8.4"
"Liberty Flames","10.1","4.7","5.4"
"Oklahoma State Cowboys","10.1","8.9","1.3"
"Oregon Ducks","9.7","4.5","5.3"
"NC State Wolfpack","9.6","3.7","5.9"
"Utah State Aggies","9.4","2.6","6.8"
"Mississippi State Bulldogs","9.4","8.5","0.9"
"Cincinnati Bearcats","9.4","4.3","5.1"
"Boise State Broncos","9.2","5.5","3.7"
"Sam Houston Bearkats","9.2","7.2","2.0"
"UCF Knights","9.1","6.0","3.1"
"Gonzaga Bulldogs","20.5","7.7","12.8"
"Houston Cougars","19.8","9.7","10.1"
"Tennessee Volunteers","18.0","10.9","7.1"
"Baylor Bears","17.9","7.8","10.1"
"Kentucky Wildcats","17.7","6.6","11.1"
"Kansas Jayhawks","17.6","6.7","10.9"
"Arizona Wildcats","17.6","7.1","10.5"
"Villanova Wildcats","17.6","6.8","10.7"
"Duke Blue Devils","16.8","4.8","12.0"
"Texas Tech Red Raiders","16.5","10.5","6.0"
"Purdue Boilermakers","16.4","3.6","12.7"
"UCLA Bruins","16.2","6.9","9.2"
"Auburn Tigers","15.6","9.0","6.5"
"Iowa Hawkeyes","15.5","3.5","11.9"
"LSU Tigers","14.0","10.4","3.6"
"Illinois Fighting Illini","13.9","6.7","7.3"
"Texas Longhorns","13.9","7.8","6.0"
"North Carolina Tar Heels","13.3","5.5","7.8"
"UConn Huskies","13.3","5.7","7.6"
"Virginia Tech Hokies","13.2","5.0","8.3"
"Arkansas Razorbacks","12.8","7.6","5.3"
"Saint Mary's Gaels","11.8","7.3","4.5"
"Memphis Tigers","11.8","6.2","5.6"
"Alabama Crimson Tide","11.6","3.4","8.2"
"Ohio State Buckeyes","11.5","2.9","8.6"
"Michigan Wolverines","11.4","3.9","7.6"
"Loyola Chicago Ramblers","11.2","6.4","4.9"
"Wisconsin Badgers","10.9","6.1","4.7"
"Providence Friars","10.7","5.3","5.4"
"Oklahoma Sooners","10.7","5.6","5.1"
"San Diego State Aztecs","10.6","10.3","0.3"
"San Francisco Dons","10.6","5.1","5.4"
"TCU Horned Frogs","10.5","6.5","4.0"
"Michigan State Spartans","10.3","4.7","5.6"
"Murray State Racers","10.3","3.7","6.6"
"Wake Forest Demon Deacons","10.2","4.9","5.3"
"Mississippi State Bulldogs","10.2","4.9","5.3"
"Oklahoma State Cowboys","10.2","9.4","0.8"
"Texas A&M Aggies","10.1","5.8","4.2"
"Vermont Catamounts","10.0","3.2","6.7"
"Indiana Hoosiers","10.0","6.8","3.2"
"Notre Dame Fighting Irish","9.8","2.9","6.9"
"USC Trojans","9.8","5.0","4.8"
"Dayton Flyers","9.7","5.5","4.3"
"Seton Hall Pirates","9.6","5.6","4.0"
"Xavier Musketeers","9.6","4.2","5.3"
"Florida Gators","9.4","4.5","4.9"
"St. John's Red Storm","9.2","3.8","5.4"
"UAB Blazers","9.2","3.8","5.5"
"Miami Hurricanes","9.1","1.5","7.7"
"Gonzaga Bulldogs","21.3","6.3","15.0"
"Baylor Bears","20.7","6.8","13.9"
"Houston Cougars","18.3","8.4","9.9"
"Illinois Fighting Illini","17.6","8.0","9.7"
"Michigan Wolverines","17.4","7.7","9.7"
"Iowa Hawkeyes","17.0","2.7","14.3"
"Villanova Wildcats","15.1","4.2","10.9"
"Texas Tech Red Raiders","14.4","7.9","6.5"
"Alabama Crimson Tide","14.4","8.6","5.8"
"USC Trojans","14.3","7.3","7.0"
"Ohio State Buckeyes","14.2","3.6","10.6"
"Virginia Cavaliers","13.9","5.8","8.0"
"Arkansas Razorbacks","13.5","7.1","6.4"
"Tennessee Volunteers","13.3","8.3","5.0"
"Loyola Chicago Ramblers","13.2","7.7","5.6"
"Wisconsin Badgers","13.2","7.2","6.0"
"Creighton Bluejays","13.1","5.0","8.0"
"Colorado Buffaloes","13.1","5.7","7.4"
"Florida State Seminoles","12.7","5.7","7.0"
"LSU Tigers","12.6","1.4","11.2"
"UConn Huskies","12.5","6.1","6.4"
"Texas Longhorns","12.4","5.7","6.7"
"San Diego State Aztecs","12.2","6.9","5.3"
"West Virginia Mountaineers","12.0","3.9","8.1"
"Kansas Jayhawks","12.0","6.7","5.3"
"North Carolina Tar Heels","11.7","6.6","5.1"
"Purdue Boilermakers","11.6","5.4","6.2"
"UCLA Bruins","11.4","3.3","8.1"
"St. Bonaventure Bonnies","11.3","6.2","5.2"
"Oregon Ducks","11.2","3.0","8.2"
"Duke Blue Devils","11.1","3.4","7.7"
"BYU Cougars","11.1","4.5","6.6"
"Oklahoma Sooners","11.0","4.6","6.4"
"Syracuse Orange","10.9","4.2","6.8"
"Memphis Tigers","10.8","9.2","1.6"
"Florida Gators","10.3","4.5","5.8"
"Oklahoma State Cowboys","10.2","6.3","3.9"
"Georgia Tech Yellow Jackets","9.9","3.5","6.4"
"Maryland Terrapins","9.7","3.8","6.0"
"Arizona Wildcats","9.7","3.4","6.3"
"Rutgers Scarlet Knights","9.6","6.4","3.2"
"Virginia Tech Hokies","9.6","4.5","5.1"
"Clemson Tigers","9.5","7.3","2.3"
"Saint Louis Billikens","9.5","4.3","5.2"
"Penn State Nittany Lions","9.4","4.0","5.4"
"Ole Miss Rebels","9.2","7.3","1.9"
"NC State Wolfpack","9.0","3.5","5.5"
"Missouri Tigers","9.0","4.2","4.8"
"Indiana Hoosiers","8.9","4.8","4.0"
"Seton Hall Pirates","8.8","4.1","4.7"
"Kansas Jayhawks","18.8","9.6","9.2"
"Duke Blue Devils","18.3","8.6","9.7"
"Gonzaga Bulldogs","18.1","5.0","13.1"
"Michigan State Spartans","16.7","8.2","8.6"
"Dayton Flyers","15.8","5.3","10.4"
"Baylor Bears","15.5","8.8","6.7"
"San Diego State Aztecs","14.8","7.2","7.5"
"Louisville Cardinals","14.7","6.0","8.7"
"Ohio State Buckeyes","14.6","7.5","7.1"
"Arizona Wildcats","14.0","7.2","6.8"
"West Virginia Mountaineers","13.5","9.4","4.1"
"Florida State Seminoles","13.5","7.1","6.3"
"Oregon Ducks","13.4","3.5","10.0"
"Maryland Terrapins","13.4","6.3","7.1"
"Houston Cougars","13.1","6.4","6.7"
"Villanova Wildcats","13.0","5.3","7.7"
"BYU Cougars","13.0","3.8","9.2"
"Michigan Wolverines","12.8","6.4","6.4"
"Purdue Boilermakers","12.7","7.9","4.8"
"Texas Tech Red Raiders","12.4","7.8","4.5"
"Wisconsin Badgers","12.2","6.3","5.9"
"Seton Hall Pirates","12.1","6.0","6.2"
"Florida Gators","12.0","5.0","7.1"
"Kentucky Wildcats","12.0","5.3","6.7"
"Creighton Bluejays","12.0","2.6","9.4"
"Butler Bulldogs","11.8","5.6","6.1"
"Iowa Hawkeyes","11.6","2.1","9.5"
"Penn State Nittany Lions","11.5","6.4","5.1"
"Auburn Tigers","11.5","4.9","6.5"
"Marquette Golden Eagles","11.3","3.9","7.4"
"Rutgers Scarlet Knights","11.1","7.7","3.4"
"Minnesota Golden Gophers","11.1","5.5","5.6"
"LSU Tigers","11.0","0.9","10.1"
"Illinois Fighting Illini","10.7","5.1","5.6"
"Indiana Hoosiers","10.3","5.7","4.6"
"Virginia Cavaliers","10.2","11.6","-1.4"
"Utah State Aggies","10.2","5.1","5.1"
"Colorado Buffaloes","10.0","5.9","4.1"
"Wichita State Shockers","9.9","7.8","2.1"
"Saint Mary's Gaels","9.7","1.3","8.4"
"Richmond Spiders","9.7","4.0","5.7"
"Mississippi State Bulldogs","9.5","2.6","6.9"
"NC State Wolfpack","9.4","3.9","5.5"
"East Tennessee State Buccaneers","9.4","4.2","5.1"
"Providence Friars","9.3","5.8","3.5"
"Syracuse Orange","9.2","2.7","6.5"
"Arkansas Razorbacks","8.9","4.9","4.0"
"Cincinnati Bearcats","8.9","5.3","3.6"
"Oklahoma Sooners","8.9","4.9","4.0"
"Xavier Musketeers","8.6","6.1","2.5"
"Virginia Cavaliers","23.2","11.0","12.2"
"Gonzaga Bulldogs","23.1","9.0","14.0"
"Duke Blue Devils","21.3","10.4","10.9"
"Michigan State Spartans","19.8","9.1","10.7"
"North Carolina Tar Heels","18.9","8.2","10.7"
"Texas Tech Red Raiders","18.8","12.6","6.2"
"Kentucky Wildcats","18.3","8.8","9.4"
"Michigan Wolverines","17.8","11.5","6.3"
"Purdue Boilermakers","17.4","5.6","11.8"
"Tennessee Volunteers","17.1","5.7","11.4"
"Virginia Tech Hokies","16.5","6.7","9.9"
"Auburn Tigers","16.4","5.9","10.5"
"Houston Cougars","15.9","8.1","7.7"
"Florida State Seminoles","14.6","8.7","5.9"
"Iowa State Cyclones","14.5","5.5","9.0"
"Wofford Terriers","14.3","4.4","9.9"
"Wisconsin Badgers","14.3","9.4","5.0"
"Kansas Jayhawks","14.2","7.3","6.9"
"Louisville Cardinals","13.4","6.6","6.8"
"Mississippi State Bulldogs","12.9","4.2","8.7"
"Nevada Wolf Pack","12.9","5.7","7.1"
"Kansas State Wildcats","12.7","9.9","2.8"
"LSU Tigers","12.7","4.2","8.5"
"Buffalo Bulls","12.6","5.6","7.0"
"Villanova Wildcats","12.5","4.0","8.5"
"Maryland Terrapins","12.0","5.9","6.1"
"Cincinnati Bearcats","11.8","6.7","5.2"
"Texas Longhorns","11.8","6.0","5.8"
"NC State Wolfpack","11.7","4.6","7.0"
"Florida Gators","11.6","7.2","4.4"
"Oregon Ducks","11.6","7.8","3.7"
"Marquette Golden Eagles","11.5","5.8","5.7"
"Clemson Tigers","10.9","7.9","3.0"
"Oklahoma Sooners","10.6","6.6","4.0"
"Syracuse Orange","10.5","6.7","3.8"
"UCF Knights","10.5","6.0","4.5"
"Iowa Hawkeyes","10.5","1.6","8.9"
"Saint Mary's Gaels","10.4","3.1","7.3"
"Baylor Bears","10.3","3.6","6.7"
"Nebraska Cornhuskers","10.2","4.5","5.7"
"VCU Rams","10.0","9.9","0.1"
"Ohio State Buckeyes","9.8","6.3","3.5"
"TCU Horned Frogs","9.5","5.3","4.2"
"Belmont Bruins","9.4","1.9","7.5"
"Indiana Hoosiers","9.0","5.9","3.1"
"Murray State Racers","9.0","3.2","5.8"
"Lipscomb Bisons","8.9","4.1","4.9"
"Penn State Nittany Lions","8.9","6.6","2.3"
"Utah State Aggies","8.9","4.4","4.5"
"Creighton Bluejays","8.8","2.4","6.4"
"Villanova Wildcats","22.8","7.3","15.5"
"Virginia Cavaliers","20.2","13.2","7.0"
"Duke Blue Devils","19.8","7.5","12.4"
"Purdue Boilermakers","19.0","7.0","12.0"
"Cincinnati Bearcats","18.5","12.2","6.3"
"Michigan State Spartans","17.8","7.7","10.1"
"Kansas Jayhawks","16.5","5.2","11.2"
"North Carolina Tar Heels","16.1","5.8","10.3"
"West Virginia Mountaineers","15.8","6.4","9.4"
"Gonzaga Bulldogs","15.4","5.9","9.4"
"Texas Tech Red Raiders","15.1","9.3","5.8"
"Michigan Wolverines","15.1","8.5","6.5"
"Xavier Musketeers","14.7","4.2","10.5"
"Tennessee Volunteers","14.4","8.3","6.0"
"Wichita State Shockers","14.2","3.8","10.4"
"Clemson Tigers","14.0","7.9","6.0"
"Ohio State Buckeyes","13.8","6.6","7.3"
"Houston Cougars","13.4","6.6","6.8"
"Kentucky Wildcats","12.9","5.9","7.0"
"Penn State Nittany Lions","12.6","7.2","5.5"
"Butler Bulldogs","12.4","5.4","7.0"
"TCU Horned Frogs","12.3","2.7","9.6"
"Auburn Tigers","12.2","5.1","7.1"
"Creighton Bluejays","12.2","4.1","8.1"
"Florida Gators","12.1","5.6","6.5"
"Arizona Wildcats","11.9","2.5","9.4"
"Seton Hall Pirates","11.7","4.0","7.7"
"Saint Mary's Gaels","11.6","1.6","10.0"
"Florida State Seminoles","11.5","5.3","6.2"
"Virginia Tech Hokies","11.2","3.2","8.0"
"Nevada Wolf Pack","11.2","1.7","9.4"
"Texas A&M Aggies","10.8","6.7","4.1"
"Davidson Wildcats","10.7","1.7","8.9"
"Louisville Cardinals","10.6","5.7","4.9"
"Miami Hurricanes","10.6","5.7","4.9"
"Rhode Island Rams","10.5","5.9","4.7"
"Notre Dame Fighting Irish","10.4","3.6","6.9"
"Baylor Bears","10.4","5.4","5.0"
"Maryland Terrapins","10.2","4.5","5.7"
"Texas Longhorns","10.0","6.8","3.2"
"Arkansas Razorbacks","10.0","2.4","7.6"
"Middle Tennessee Blue Raiders","9.7","5.4","4.3"
"Loyola Chicago Ramblers","9.6","5.0","4.6"
"Oklahoma Sooners","9.4","2.7","6.8"
"Syracuse Orange","9.4","8.3","1.2"
"Arizona State Sun Devils","9.2","2.0","7.3"
"Kansas State Wildcats","9.2","5.7","3.5"
"NC State Wolfpack","9.2","2.2","7.0"
"Missouri Tigers","9.1","4.8","4.4"
"Marquette Golden Eagles","9.0","-0.2","9.2"
"Gonzaga Bulldogs","20.4","9.5","10.8"
"Villanova Wildcats","20.3","8.4","11.9"
"North Carolina Tar Heels","19.4","8.2","11.3"
"Kansas Jayhawks","18.4","6.3","12.1"
"Florida Gators","18.1","9.6","8.5"
"Louisville Cardinals","17.8","9.9","7.9"
"Duke Blue Devils","17.7","5.9","11.8"
"West Virginia Mountaineers","17.6","9.4","8.2"
"Kentucky Wildcats","17.5","7.9","9.6"
"Oregon Ducks","17.4","6.8","10.7"
"Virginia Cavaliers","17.2","11.4","5.8"
"UCLA Bruins","16.8","2.4","14.4"
"Saint Mary's Gaels","16.6","5.7","10.9"
"Purdue Boilermakers","16.1","7.2","8.9"
"Wichita State Shockers","15.7","8.5","7.2"
"Michigan Wolverines","15.6","3.9","11.6"
"SMU Mustangs","15.5","5.2","10.3"
"Baylor Bears","15.1","7.1","7.9"
"Wisconsin Badgers","15.0","8.3","6.7"
"Cincinnati Bearcats","14.8","7.8","7.0"
"Iowa State Cyclones","14.7","5.1","9.6"
"Arizona Wildcats","14.7","5.9","8.8"
"Notre Dame Fighting Irish","13.9","4.1","9.8"
"Florida State Seminoles","13.9","6.3","7.6"
"Butler Bulldogs","13.3","4.7","8.6"
"Oklahoma State Cowboys","12.4","1.3","11.1"
"Creighton Bluejays","12.0","3.9","8.1"
"South Carolina Gamecocks","11.4","9.4","2.0"
"Marquette Golden Eagles","10.8","1.0","9.8"
"Wake Forest Demon Deacons","10.7","0.7","10.1"
"Miami Hurricanes","10.7","6.2","4.5"
"Indiana Hoosiers","10.6","3.2","7.5"
"Xavier Musketeers","10.4","3.6","6.8"
"Rhode Island Rams","10.4","5.6","4.8"
"Syracuse Orange","10.4","2.8","7.6"
"Dayton Flyers","10.2","5.6","4.6"
"Kansas State Wildcats","10.2","5.1","5.1"
"Vanderbilt Commodores","10.2","4.7","5.5"
"Clemson Tigers","10.0","3.5","6.6"
"Texas Tech Red Raiders","9.9","3.9","6.0"
"Minnesota Golden Gophers","9.8","7.3","2.5"
"VCU Rams","9.7","6.2","3.5"
"Michigan State Spartans","9.7","5.1","4.6"
"TCU Horned Frogs","9.7","4.0","5.7"
"Arkansas Razorbacks","9.6","3.1","6.5"
"Middle Tennessee Blue Raiders","9.5","4.5","4.9"
"Northwestern Wildcats","9.4","5.8","3.6"
"Houston Cougars","9.2","2.7","6.5"
"Nevada Wolf Pack","9.0","1.6","7.4"
"Vermont Catamounts","9.0","4.3","4.7"
"Villanova Wildcats","19.9","11.0","8.9"
"North Carolina Tar Heels","18.7","4.8","13.8"
"Michigan State Spartans","18.6","8.1","10.5"
"Virginia Cavaliers","18.6","15.2","3.4"
"Kansas Jayhawks","18.5","6.6","11.8"
"Louisville Cardinals","17.1","12.6","4.5"
"West Virginia Mountaineers","16.5","7.7","8.9"
"Kentucky Wildcats","16.2","6.4","9.8"
"Purdue Boilermakers","15.9","8.2","7.7"
"Indiana Hoosiers","15.8","4.3","11.5"
"Duke Blue Devils","15.6","3.5","12.1"
"SMU Mustangs","15.0","8.2","6.8"
"Oklahoma Sooners","14.9","4.8","10.1"
"Arizona Wildcats","14.8","5.2","9.6"
"Wichita State Shockers","14.4","11.1","3.3"
"Xavier Musketeers","14.1","4.0","10.1"
"Vanderbilt Commodores","13.6","7.6","6.0"
"UConn Huskies","13.5","9.1","4.4"
"Miami Hurricanes","13.5","6.8","6.7"
"Maryland Terrapins","13.3","7.0","6.3"
"Texas A&M Aggies","13.0","7.5","5.5"
"Oregon Ducks","13.0","4.7","8.3"
"Cincinnati Bearcats","13.0","9.6","3.3"
