"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Iowa Hawkeyes","12.9","5.5","7.4"
"Iowa State Cyclones","12.8","0.5","12.3"
"Gonzaga Bulldogs","12.5","6.1","6.4"
"Pittsburgh Panthers","12.3","7.1","5.2"
"Butler Bulldogs","12.1","3.5","8.6"
"Baylor Bears","11.8","4.3","7.5"
"California Golden Bears","11.8","6.7","5.1"
"Notre Dame Fighting Irish","11.0","4.4","6.6"
"Syracuse Orange","11.0","9.5","1.5"
"Seton Hall Pirates","11.0","6.2","4.7"
"Valparaiso Beacons","10.7","9.7","1.0"
"VCU Rams","10.6","5.0","5.6"
"Yale Bulldogs","10.5","8.1","2.4"
"Michigan Wolverines","10.4","6.3","4.1"
"Florida Gators","10.1","6.1","4.0"
"Saint Mary's Gaels","10.1","9.1","1.0"
"Utah Utes","10.1","3.9","6.3"
"Creighton Bluejays","9.8","1.4","8.4"
"Wisconsin Badgers","9.8","10.3","-0.6"
"George Washington Revolutionaries","9.7","4.4","5.2"
"Clemson Tigers","9.7","9.2","0.5"
"Texas Longhorns","9.6","7.0","2.7"
"Stephen F. Austin Lumberjacks","9.5","6.5","3.1"
"Florida State Seminoles","9.4","1.5","7.9"
"BYU Cougars","9.0","0.0","9.0"
"Dayton Flyers","9.0","7.4","1.6"
"Princeton Tigers","8.7","3.1","5.6"
"Kentucky Wildcats","23.9","13.6","10.3"
"Duke Blue Devils","22.4","6.0","16.4"
"Wisconsin Badgers","21.7","11.3","10.4"
"Virginia Cavaliers","19.6","17.7","1.9"
"Arizona Wildcats","19.6","8.9","10.7"
"Villanova Wildcats","19.3","8.5","10.8"
"North Carolina Tar Heels","17.8","2.9","14.9"
"Gonzaga Bulldogs","16.4","4.9","11.5"
"Ohio State Buckeyes","16.3","6.6","9.7"
"Utah Utes","16.2","11.3","5.0"
"Notre Dame Fighting Irish","15.8","2.8","13.0"
"Louisville Cardinals","14.8","9.8","5.1"
"Kansas Jayhawks","14.4","5.5","8.9"
"Oklahoma Sooners","13.9","6.6","7.4"
"Iowa State Cyclones","13.8","1.1","12.7"
"Michigan State Spartans","13.7","6.2","7.6"
"Wichita State Shockers","13.7","8.6","5.1"
"Baylor Bears","13.6","8.8","4.8"
"Butler Bulldogs","12.8","9.3","3.5"
"Texas Longhorns","12.5","8.5","4.0"
"Iowa Hawkeyes","12.1","6.5","5.6"
"VCU Rams","12.0","3.7","8.3"
"Northern Iowa Panthers","11.8","10.9","0.9"
"West Virginia Mountaineers","11.5","3.5","8.0"
"Syracuse Orange","10.7","6.4","4.3"
"Maryland Terrapins","10.5","6.4","4.1"
"NC State Wolfpack","10.4","4.0","6.4"
"Providence Friars","10.4","4.6","5.8"
"Georgetown Hoyas","10.4","4.3","6.0"
"Davidson Wildcats","10.3","-0.9","11.2"
"BYU Cougars","10.2","-4.4","14.6"
"Florida Gators","10.2","9.8","0.4"
"Arkansas Razorbacks","10.0","-0.4","10.4"
"Purdue Boilermakers","9.9","5.3","4.6"
"SMU Mustangs","9.8","6.5","3.3"
"Illinois Fighting Illini","9.7","4.9","4.8"
"Indiana Hoosiers","9.7","-1.9","11.5"
"Miami Hurricanes","9.7","5.3","4.4"
"Oklahoma State Cowboys","9.5","6.0","3.6"
"Xavier Musketeers","9.5","1.1","8.4"
"Dayton Flyers","9.4","6.7","2.7"
"St. John's Red Storm","9.2","2.9","6.3"
"Richmond Spiders","8.9","6.9","2.0"
"Stephen F. Austin Lumberjacks","8.8","1.9","6.9"
"Cincinnati Bearcats","8.7","11.0","-2.3"
"Georgia Bulldogs","8.6","4.8","3.9"
"Minnesota Golden Gophers","8.5","0.8","7.7"
"Ole Miss Rebels","8.3","0.9","7.3"
"Old Dominion Monarchs","8.2","9.6","-1.5"
"Rhode Island Rams","8.1","6.6","1.5"
"Louisville Cardinals","20.1","9.4","10.7"
"Florida Gators","19.2","14.0","5.2"
"Duke Blue Devils","18.8","5.2","13.6"
"Arizona Wildcats","17.7","11.8","5.9"
"Virginia Cavaliers","16.4","16.1","0.2"
"Villanova Wildcats","16.2","7.5","8.7"
"Kansas Jayhawks","15.8","4.8","11.0"
"Wisconsin Badgers","15.8","8.0","7.8"
"Michigan Wolverines","15.7","7.0","8.7"
"Pittsburgh Panthers","15.4","8.3","7.1"
"Michigan State Spartans","15.4","6.9","8.5"
"Kentucky Wildcats","14.9","6.0","8.9"
"Creighton Bluejays","14.8","3.3","11.4"
"Wichita State Shockers","14.6","9.2","5.4"
"Tennessee Volunteers","14.5","9.4","5.1"
"Syracuse Orange","14.3","12.6","1.7"
"Oklahoma State Cowboys","14.1","3.8","10.3"
"Iowa Hawkeyes","14.1","1.7","12.4"
"Ohio State Buckeyes","13.8","11.8","2.1"
"UCLA Bruins","13.8","1.8","12.0"
"San Diego State Aztecs","13.3","11.5","1.8"
"VCU Rams","13.0","6.2","6.8"
"Iowa State Cyclones","12.9","0.0","12.8"
"Gonzaga Bulldogs","12.8","5.7","7.1"
"UConn Huskies","12.7","8.5","4.3"
"Cincinnati Bearcats","12.1","12.2","-0.1"
"North Carolina Tar Heels","12.0","3.8","8.2"
"Harvard Crimson","11.8","7.2","4.6"
"Oregon Ducks","11.4","-0.2","11.7"
"Arkansas Razorbacks","11.4","1.1","10.3"
"Baylor Bears","11.0","5.2","5.8"
"Louisiana Tech Bulldogs","10.7","3.1","7.6"
"Florida State Seminoles","10.1","5.7","4.4"
"Arizona State Sun Devils","10.1","2.4","7.6"
"Memphis Tigers","10.0","2.7","7.3"
"SMU Mustangs","9.9","7.3","2.6"
"Saint Louis Billikens","9.9","8.9","1.0"
"Utah Utes","9.9","6.5","3.4"
"Xavier Musketeers","9.6","4.5","5.1"
"St. John's Red Storm","9.5","5.2","4.4"
"Oklahoma Sooners","9.5","-1.9","11.4"
"Clemson Tigers","9.2","13.2","-4.0"
"North Dakota State Bison","9.2","4.3","4.9"
"George Washington Revolutionaries","9.1","5.2","3.9"
"New Mexico Lobos","9.1","3.3","5.8"
"Georgetown Hoyas","9.1","5.8","3.3"
"Massachusetts Minutemen","9.1","1.5","7.6"
"Providence Friars","8.8","2.7","6.2"
"Dayton Flyers","8.6","4.1","4.5"
"Maryland Terrapins","8.5","3.9","4.6"
"Florida Gators","21.2","13.7","7.5"
"Louisville Cardinals","21.0","10.3","10.7"
"Indiana Hoosiers","20.2","6.4","13.8"
"Duke Blue Devils","17.6","5.4","12.2"
"Kansas Jayhawks","16.8","6.9","9.8"
"Pittsburgh Panthers","16.7","12.2","4.5"
"Gonzaga Bulldogs","16.4","5.6","10.7"
"Michigan Wolverines","16.1","5.0","11.0"
"Ohio State Buckeyes","15.9","8.5","7.5"
"Wisconsin Badgers","15.6","13.2","2.4"
"Syracuse Orange","15.0","8.0","7.0"
"Arizona Wildcats","14.5","5.3","9.2"
"VCU Rams","14.4","4.8","9.6"
"Georgetown Hoyas","14.1","11.7","2.4"
"Miami Hurricanes","14.0","9.3","4.7"
"Michigan State Spartans","13.9","10.0","3.9"
"Minnesota Golden Gophers","13.5","7.2","6.3"
"Creighton Bluejays","13.4","4.5","8.9"
"Missouri Tigers","12.4","2.2","10.2"
"Middle Tennessee Blue Raiders","12.1","8.2","3.9"
"Saint Mary's Gaels","12.1","3.5","8.6"
"Kentucky Wildcats","12.0","4.2","7.8"
"Wichita State Shockers","11.8","7.5","4.4"
"Marquette Golden Eagles","11.5","5.3","6.1"
"Ole Miss Rebels","11.5","1.2","10.3"
"Cincinnati Bearcats","11.4","8.5","2.9"
"Iowa State Cyclones","11.3","-1.3","12.6"
"Baylor Bears","11.3","2.3","9.0"
"NC State Wolfpack","11.3","-0.4","11.6"
"Kansas State Wildcats","11.1","7.4","3.8"
"North Carolina Tar Heels","11.1","1.1","10.0"
"Oklahoma State Cowboys","11.0","5.6","5.4"
"UNLV Rebels","10.8","5.2","5.6"
"San Diego State Aztecs","10.8","6.0","4.8"
"Saint Louis Billikens","10.7","8.8","1.9"
"Notre Dame Fighting Irish","10.7","4.6","6.1"
"Belmont Bruins","10.5","3.5","7.1"
"Memphis Tigers","10.4","3.5","6.9"
"California Golden Bears","10.4","4.9","5.5"
"Virginia Cavaliers","10.1","11.8","-1.7"
"New Mexico Lobos","10.0","6.0","3.9"
"Iowa Hawkeyes","9.9","4.5","5.4"
"Oklahoma Sooners","9.7","3.3","6.4"
"Davidson Wildcats","9.7","3.3","6.4"
"Butler Bulldogs","9.0","4.6","4.4"
"Oregon Ducks","8.8","2.4","6.4"
"UConn Huskies","8.8","3.1","5.7"
"Boise State Broncos","8.6","1.9","6.7"
"Colorado State Rams","8.6","1.8","6.7"
"La Salle Explorers","8.4","2.3","6.2"
"Ohio State Buckeyes","20.3","9.5","10.8"
"Kentucky Wildcats","20.1","8.2","11.9"
"Syracuse Orange","18.3","8.4","9.9"
"Michigan State Spartans","17.6","9.9","7.7"
"North Carolina Tar Heels","17.1","3.4","13.7"
"Wisconsin Badgers","16.2","15.9","0.3"
"Kansas Jayhawks","16.1","7.8","8.2"
"Missouri Tigers","15.9","1.9","14.0"
"Florida Gators","15.3","3.5","11.8"
"Indiana Hoosiers","15.2","3.2","12.1"
"Duke Blue Devils","14.8","2.6","12.2"
"Memphis Tigers","14.6","5.1","9.5"
"Wichita State Shockers","14.1","5.3","8.9"
"Marquette Golden Eagles","13.7","3.2","10.5"
"Georgetown Hoyas","13.5","9.7","3.8"
"New Mexico Lobos","13.5","7.1","6.4"
"Baylor Bears","12.7","3.8","8.9"
"Vanderbilt Commodores","12.6","4.4","8.2"
"Louisville Cardinals","12.2","8.9","3.4"
"Saint Louis Billikens","12.0","10.4","1.6"
"Florida State Seminoles","11.9","7.4","4.5"
"Purdue Boilermakers","11.6","4.1","7.5"
"Belmont Bruins","11.5","0.9","10.6"
"Alabama Crimson Tide","11.2","11.5","-0.3"
"Gonzaga Bulldogs","11.2","4.4","6.8"
"Kansas State Wildcats","11.0","5.2","5.8"
"Virginia Cavaliers","11.0","14.0","-3.1"
"Saint Mary's Gaels","10.9","4.5","6.4"
"Michigan Wolverines","10.7","8.1","2.6"
"Texas Longhorns","10.3","4.0","6.3"
"California Golden Bears","10.1","5.3","4.8"
"UNLV Rebels","10.1","1.2","8.9"
"Creighton Bluejays","10.0","-1.3","11.3"
"Cincinnati Bearcats","10.0","6.8","3.2"
"West Virginia Mountaineers","9.9","2.6","7.3"
"Temple Owls","9.8","1.5","8.3"
"Iowa State Cyclones","9.7","2.6","7.2"
"Iona Gaels","9.6","-3.5","13.1"
"UConn Huskies","9.5","5.2","4.3"
"BYU Cougars","8.9","1.0","7.9"
"NC State Wolfpack","8.8","1.5","7.3"
"Long Beach State Beach","8.8","3.4","5.4"
"Pittsburgh Panthers","8.3","3.6","4.7"
"Miami Hurricanes","8.2","3.2","5.0"
"VCU Rams","8.2","5.5","2.7"
"Drexel Dragons","8.1","9.4","-1.3"
"Harvard Crimson","8.1","8.7","-0.6"
"Davidson Wildcats","8.1","-0.2","8.2"
"Xavier Musketeers","8.0","2.8","5.2"
"Minnesota Golden Gophers","7.9","3.9","4.1"
"Ohio State Buckeyes","21.8","10.4","11.4"
"Kansas Jayhawks","19.8","6.5","13.3"
"Duke Blue Devils","19.0","5.3","13.7"
"Pittsburgh Panthers","18.2","9.4","8.8"
"Kentucky Wildcats","16.5","7.8","8.7"
"Purdue Boilermakers","16.2","9.1","7.1"
"Texas Longhorns","16.1","8.1","8.0"
"Wisconsin Badgers","16.0","12.2","3.7"
"San Diego State Aztecs","15.6","9.0","6.6"
"North Carolina Tar Heels","15.4","4.2","11.2"
"Florida Gators","15.1","6.5","8.6"
"Syracuse Orange","14.6","7.3","7.2"
"BYU Cougars","14.0","0.8","13.2"
"Notre Dame Fighting Irish","14.0","4.2","9.8"
"Louisville Cardinals","13.9","5.9","8.0"
"Belmont Bruins","13.5","4.4","9.1"
"Washington Huskies","13.5","-0.2","13.7"
"West Virginia Mountaineers","12.9","8.4","4.5"
"Arizona Wildcats","12.7","3.0","9.7"
"Vanderbilt Commodores","12.7","3.5","9.1"
"Illinois Fighting Illini","12.5","6.1","6.4"
"Villanova Wildcats","12.4","5.2","7.1"
"UNLV Rebels","12.2","6.4","5.9"
"Maryland Terrapins","11.9","3.6","8.2"
"UConn Huskies","11.8","5.0","6.8"
"Georgetown Hoyas","11.7","5.9","5.8"
"Missouri Tigers","11.6","0.4","11.1"
"Utah State Aggies","11.4","8.5","2.9"
"George Mason Patriots","11.1","5.6","5.5"
"Marquette Golden Eagles","11.1","3.0","8.1"
"Cincinnati Bearcats","10.9","8.8","2.1"
"Kansas State Wildcats","10.8","5.1","5.8"
"Temple Owls","10.7","6.6","4.1"
"Clemson Tigers","10.7","8.4","2.3"
"Florida State Seminoles","10.5","8.3","2.3"
"Xavier Musketeers","10.5","5.3","5.2"
"Wichita State Shockers","10.4","4.9","5.5"
"Saint Mary's Gaels","10.3","2.3","8.0"
"Gonzaga Bulldogs","10.3","2.4","7.9"
"Richmond Spiders","10.2","7.4","2.8"
"Butler Bulldogs","10.2","5.2","5.0"
"Virginia Tech Hokies","10.0","6.4","3.5"
"Texas A&M Aggies","9.8","8.7","1.1"
"Michigan State Spartans","9.7","5.0","4.6"
"Alabama Crimson Tide","9.6","9.8","-0.1"
"Old Dominion Monarchs","9.5","10.0","-0.5"
"Georgia Bulldogs","9.4","5.8","3.5"
"Duquesne Dukes","9.2","0.9","8.3"
"Michigan Wolverines","9.1","7.7","1.4"
"Tennessee Volunteers","9.0","4.7","4.4"
"Duke Blue Devils","22.5","9.6","12.8"
"Kansas Jayhawks","21.2","7.8","13.4"
"Syracuse Orange","18.8","5.5","13.4"
"Kentucky Wildcats","17.2","5.5","11.7"
"West Virginia Mountaineers","16.5","8.7","7.8"
"Ohio State Buckeyes","16.5","8.0","8.5"
"Wisconsin Badgers","15.9","13.6","2.3"
"Baylor Bears","15.4","6.0","9.5"
"Maryland Terrapins","15.2","3.3","11.9"
"Villanova Wildcats","15.0","0.6","14.5"
"Purdue Boilermakers","14.9","9.3","5.6"
"Kansas State Wildcats","14.5","3.3","11.3"
"Georgetown Hoyas","14.5","6.2","8.3"
"BYU Cougars","14.4","1.8","12.6"
"Texas Longhorns","14.2","1.9","12.3"
"Tennessee Volunteers","13.8","6.7","7.1"
"Missouri Tigers","13.7","4.6","9.1"
"Xavier Musketeers","13.4","1.6","11.9"
"Clemson Tigers","13.4","6.3","7.2"
"Florida State Seminoles","13.1","10.4","2.7"
"Minnesota Golden Gophers","12.8","6.2","6.6"
"Utah State Aggies","12.8","8.7","4.1"
"Vanderbilt Commodores","12.7","3.4","9.2"
"Marquette Golden Eagles","12.6","6.2","6.4"
"Butler Bulldogs","12.5","9.4","3.1"
"Pittsburgh Panthers","12.5","9.5","3.0"
"Louisville Cardinals","12.4","3.3","9.1"
"Michigan State Spartans","12.2","5.9","6.3"
"Temple Owls","12.0","13.1","-1.1"
"Georgia Tech Yellow Jackets","11.9","5.9","6.0"
"California Golden Bears","11.7","0.5","11.3"
"Washington Huskies","11.4","0.5","10.8"
"Old Dominion Monarchs","11.3","11.0","0.3"
"Texas A&M Aggies","11.2","6.8","4.4"
"Mississippi State Bulldogs","11.1","5.2","5.8"
"Murray State Racers","10.9","6.3","4.6"
"Ole Miss Rebels","10.9","1.2","9.7"
"Florida Gators","10.8","4.9","5.9"
"UNLV Rebels","10.8","4.9","5.9"
"Dayton Flyers","10.6","8.1","2.5"
"Cornell Big Red","10.5","3.6","6.9"
"UTEP Miners","10.5","4.2","6.3"
"Northern Iowa Panthers","10.3","12.9","-2.7"
"UConn Huskies","10.1","5.7","4.4"
"Virginia Tech Hokies","10.0","5.4","4.6"
"Memphis Tigers","9.9","4.0","6.0"
"Richmond Spiders","9.7","7.7","2.1"
"New Mexico Lobos","9.7","2.4","7.3"
"Oklahoma State Cowboys","9.6","3.5","6.1"
"Siena Saints","9.6","2.1","7.5"
"North Carolina Tar Heels","21.5","1.2","20.3"
"UConn Huskies","18.6","6.4","12.3"
"Memphis Tigers","18.5","10.3","8.1"
"Duke Blue Devils","18.4","7.0","11.3"
"Pittsburgh Panthers","18.1","7.0","11.0"
"Louisville Cardinals","17.4","9.6","7.8"
"West Virginia Mountaineers","16.6","10.0","6.5"
"Villanova Wildcats","15.9","5.3","10.5"
"Missouri Tigers","15.8","2.9","12.9"
"Gonzaga Bulldogs","15.4","2.6","12.8"
"Kansas Jayhawks","14.9","6.1","8.8"
"Oklahoma Sooners","14.5","3.7","10.8"
"Michigan State Spartans","14.0","6.1","7.8"
"Clemson Tigers","13.8","3.1","10.7"
"Syracuse Orange","13.8","0.4","13.4"
"UCLA Bruins","13.7","3.3","10.4"
"Purdue Boilermakers","13.5","8.0","5.6"
"Xavier Musketeers","13.5","7.3","6.1"
"Arizona State Sun Devils","13.0","8.9","4.1"
"Wake Forest Demon Deacons","12.9","1.2","11.7"
"Tennessee Volunteers","12.6","1.5","11.1"
"Illinois Fighting Illini","12.0","11.3","0.7"
"Georgetown Hoyas","11.9","7.6","4.3"
"Marquette Golden Eagles","11.8","1.3","10.6"
"Washington Huskies","11.8","-0.1","11.8"
"Miami Hurricanes","11.5","4.8","6.7"
"Texas Longhorns","11.5","5.7","5.8"
"Oklahoma State Cowboys","11.1","-1.2","12.3"
"Florida Gators","11.0","2.8","8.2"
"Butler Bulldogs","10.9","8.6","2.3"
"Wisconsin Badgers","10.6","9.9","0.6"
"Davidson Wildcats","10.3","2.8","7.5"
"BYU Cougars","10.1","2.2","8.0"
"LSU Tigers","10.1","3.9","6.2"
"Florida State Seminoles","9.9","7.4","2.5"
"Kentucky Wildcats","9.9","5.6","4.3"
"USC Trojans","9.8","7.5","2.3"
"UAB Blazers","9.7","4.0","5.7"
"Temple Owls","9.7","7.0","2.7"
"Ohio State Buckeyes","9.7","6.8","2.9"
"Notre Dame Fighting Irish","9.7","0.2","9.4"
"Baylor Bears","9.5","0.4","9.1"
"California Golden Bears","9.3","0.4","8.9"
"Maryland Terrapins","9.3","3.5","5.7"
"Kansas State Wildcats","9.1","2.8","6.3"
"Saint Mary's Gaels","8.9","3.4","5.5"
"VCU Rams","8.8","3.8","5.0"
"Boston College Eagles","8.4","0.7","7.7"
"North Dakota State Bison","8.4","-2.4","10.8"
"Houston Cougars","8.3","0.6","7.7"
"Kansas Jayhawks","21.9","9.6","12.4"
"North Carolina Tar Heels","20.2","1.0","19.2"
"Memphis Tigers","19.3","8.0","11.3"
"UCLA Bruins","18.9","10.9","7.9"
"Duke Blue Devils","18.2","4.3","13.8"
"Georgetown Hoyas","17.2","12.9","4.3"
"West Virginia Mountaineers","16.6","7.7","8.9"
"Wisconsin Badgers","16.5","14.4","2.1"
"Tennessee Volunteers","16.1","2.8","13.3"
"Louisville Cardinals","16.1","9.1","7.1"
"Davidson Wildcats","14.8","5.3","9.5"
"Clemson Tigers","14.7","4.5","10.2"
"Washington State Cougars","14.3","13.2","1.1"
"Xavier Musketeers","14.3","6.4","7.9"
"Marquette Golden Eagles","14.2","5.9","8.3"
"Stanford Cardinal","14.1","8.6","5.5"
"Texas Longhorns","13.7","4.3","9.4"
"Michigan State Spartans","13.6","7.8","5.8"
"Pittsburgh Panthers","13.3","6.0","7.2"
"Indiana Hoosiers","12.6","4.1","8.5"
"Butler Bulldogs","12.5","9.2","3.3"
"UConn Huskies","12.3","3.8","8.5"
"Texas A&M Aggies","12.3","8.2","4.1"
"Notre Dame Fighting Irish","12.2","1.6","10.6"
"USC Trojans","12.0","7.1","4.9"
"Ohio State Buckeyes","11.8","8.2","3.6"
"Gonzaga Bulldogs","11.0","2.9","8.1"
"Mississippi State Bulldogs","11.0","5.5","5.5"
"Arizona Wildcats","10.7","4.1","6.6"
"Florida Gators","10.6","2.5","8.1"
"Miami Hurricanes","10.4","2.2","8.1"
"Drake Bulldogs","10.3","4.9","5.4"
"Purdue Boilermakers","9.9","6.0","3.9"
"Oregon Ducks","9.9","-1.1","11.0"
"Virginia Tech Hokies","9.8","7.4","2.4"
"Arkansas Razorbacks","9.7","4.1","5.5"
"Kansas State Wildcats","9.6","1.1","8.6"
"Syracuse Orange","9.6","-0.6","10.1"
"Oklahoma Sooners","9.5","6.9","2.6"
"Saint Joseph's Hawks","9.3","3.2","6.1"
"Ole Miss Rebels","9.3","-0.7","10.1"
"New Mexico Lobos","9.3","4.1","5.2"
"Georgia Tech Yellow Jackets","9.2","-0.5","9.8"
"Missouri Tigers","9.1","-1.0","10.1"
"Villanova Wildcats","9.0","3.4","5.6"
"VCU Rams","9.0","8.6","0.4"
"Saint Mary's Gaels","9.0","3.9","5.1"
"UNLV Rebels","8.6","6.0","2.6"
"Vanderbilt Commodores","8.4","-1.6","10.0"
"Maryland Terrapins","8.3","2.4","5.9"